Cva_ID;Cva_APG_Family;Cva_Genus;Cva_Species;Cva_Common_Name;Cva_Authority;Cva_Chromosome_Nr;Cva_PloidyLevel;Cva_Estimation_Method;Cva_Voucher;Cva_2C_PG;Cva_Original_Reference;Cva_Lifecycle;Cva_Angiosperm_Group;Cva_Paper;Cva_IS;Cva_Remarks;Cva_Order_Nr;Cva_CompanyCode;Cva_Cropcode;Cva_Date_Created;Cva_Date_ Modified;Cva_EmpName_Created;Cva_EmpName_Modified;Cva_ID_Genus;Cva_Cultivar;Cva_AnO;Cva_PlantCode;Cva_BreedingCode;Cva_Status;Cva_zzz
8459;Phytolaccaceae;Phytolacca;rivinoides;;Kunth & Bouche;36;4;Fe;Y;2.6;Poggio et al.; 1999 (Ref. 354);P;Eudicot;0;;1999;0;;;9-2-2013;2-1-2016;Import;Designer;1913;;;;;
8460;Boraginaceae;Amsinckia;furcata;;Suksdorf;0;0;Fe;Y;2.6;Hanson et al.; 1999 (Ref. 377);A;Eudicot;0;;1999;0;;;9-2-2013;2-1-2016;Import;Designer;1813;;;;;
8461;Arecaceae;Salacca;zalacca;;(Gaertn) Voss;0;0;Fe;Y;2.6;Hanson et al.; 1999 (Ref. 377);P;Monocot;0;;1999;0;;;9-2-2013;31-12-2015;Import;Designer;562;;;;;
8462;Fabaceae;Lotus;ornithopoides;;L.;14;2;Fe;;2.6;Borsos; 1973 (Ref. 51);A;Eudicot;0;;1973;0;;253;9-2-2013;31-12-2015;Import;Designer;238;;;;;
8463;Ranunculaceae;Thalictrum;aquilegiifolium;;L.;0;0;Fe;;2.6;Ingle et al.; 1975 (Ref. 69);P;Eudicot;0;;1975;0;;147;9-2-2013;31-12-2015;Import;Designer;350;;;;;
8464;Platanaceae;Platanus;orientalis;;Linn.;42;2;Fe;N;2.6;Hanson et al.; 2001 (Ref. 379);P;Eudicot;0;;2001;0;;;9-2-2013;31-12-2015;Import;Designer;1235;;;;;
8465;Solanaceae;Petunia;altiplana;;T.Ando & Hashim.;14;2;FC:PI;Y;2.6;Mishiba et al.; 2000 (Ref. 387);P;Eudicot;0;;2000;0;;28;9-2-2013;31-12-2015;Import;Designer;297;;;;;
8466;Caryophyllaceae;Cerastium;arvense;;L.;72;4;FC:DAPI;Y;2.6;Boscaiu et al.; 1999 (Ref. 427);P;Eudicot;0;;1999;0;;;9-2-2013;2-1-2016;Import;Designer;1686;;;;;
8467;Gesneriaceae;Ramonda;pyrenaica;;;0;0;FC:PI;N;2.6;Zonneveld et al.; 2005 (Ref. 466);P;Eudicot;0;;2005;0;;;9-2-2013;2-1-2016;Import;Designer;1914;;;;;
8468;Asparagaceae;Sansevieria;trifasciata;;Hort. ex Prain;0;0;FC:PI;N;2.6;Zonneveld et al.; 2005 (Ref. 466);P;Monocot;0;;2005;0;;455;9-2-2013;2-1-2016;Import;Designer;1258;;;;;
8469;Bignoniaceae;Jacaranda;cuspidifolia;;Mart. ex.A.DC.;0;0;Fe;N;2.6;Ohri et al.; 2004 (Ref. 501);P;Eudicot;0;;2004;0;;;9-2-2013;2-1-2016;Import;Designer;1875;;;;;
8470;Rosaceae;Crataegus;lepida;;Beadle;0;0;FC:PI;Y;2.6;Telent & Dickinson; 2005 (Ref. 527);P;Eudicot;0;;2005;0;;;9-2-2013;31-12-2015;Import;Designer;1064;;;;;
8471;Zingiberaceae;Curcuma;coriacea;;Mangaly & M. Sabu;42;6;FC:PI;Y;2.6;Leong-Skornickova et al.; 2007 (Ref. 562);P;Monocot;0;;2007;0;;52;9-2-2013;31-12-2015;Import;Designer;954;;;;;
8472;Haemodoraceae;Conostylis;candicans;;Endl.;16;0;FC:PI;N;2.61;Hanson et al.; 2005 (Ref. 612);P;Monocot;0;;2005;0;;;9-2-2013;2-1-2016;Import;Designer;1915;;;;;
8473;Violaceae;Viola;anagae;;Gilli;0;0;FC:PI;;2.61;Suda et al.; 2005 (Ref. 552);P;Eudicot;0;;2005;0;;95;9-2-2013;31-12-2015;Import;Designer;370;;;;;
8474;Lentibulariaceae;Genlisea;lobata;;Fromm;16;0;CIA;Y;2.61;Greilhuber et al.; 2006 (Ref. 535);P;Eudicot;0;;2006;0;;;9-2-2013;2-1-2016;Import;Designer;1475;;;;;
8475;Surianaceae;Stylobasium;spathulatum;;Desf.;30;2;Fe;N;2.62;Hanson et al.; 2001 (Ref. 378);P;Eudicot;0;;2001;0;;;9-2-2013;2-1-2016;Import;Designer;1916;;;;;
8476;Asteraceae;Cirsium;acaule;;(L.) Scop.;34;2;FC:PI;Y;2.62;Bure_ et al.; 2004 (Ref. 472);P;Eudicot;0;;2004;0;;405;9-2-2013;31-12-2015;Import;Designer;1335;;;;;
8477;Fabaceae;Erythrina;corallodendron;;L.;42;2;Fe;N;2.62;Ohri et al.; 2004 (Ref. 501);P;Eudicot;0;;2004;0;;557;9-2-2013;2-1-2016;Import;Designer;142;;;;;
8478;Asteraceae;Taraxacum;brachyglossum;;Dahlst.;24;3;FC:PI;Y;2.62;Zavesky et al.; 2005 (Ref. 514);P;Eudicot;0;;2005;0;;313;9-2-2013;31-12-2015;Import;Designer;844;;;;;
8479;Asteraceae;Sonchus;radicatus;;Ait.;18;2;FC:PI;;2.62;Suda et al.; 2003 (Ref. 477);P;Eudicot;0;;2003;0;;;9-2-2013;2-1-2016;Import;Designer;1917;;;;;
8480;Plantaginaceae;Veronica;ciliata;;Fisch.;16;2;CIA;Y;2.62;Albach & Greilhuber; 2003 (Ref. 478);P;Eudicot;0;;2003;0;;193;9-2-2013;31-12-2015;Import;Designer;367;;;;;
8481;Plantaginaceae;Veronicastrum;virginicum;;(L.) Farw.;34;4;CIA;Y;2.62;Albach & Greilhuber; 2003 (Ref. 478);P;Eudicot;0;;2003;0;;;9-2-2013;2-1-2016;Import;Designer;1918;;;;;
8482;Asteraceae;Carthamus;oxyacantha;;M. Bieb.;24;2;FC:PI;Y;2.62;Garnatje et al.; 2006 (Ref. 536);A;Eudicot;0;;2006;0;;;9-2-2013;31-12-2015;Import;Designer;1024;;;;;
